user_id	bucket	timestamp	block reason
25326261	control	20150529041427	hard username
25325075	control	20150529042042	abuse
25327108	treatment	20150529063537	hard username
25327633	control	20150529075508	policy violation
25327301	control	20150529080646	hard username
25261451	control	20150529083152	hard username
25327191	control	20150529083242	spam
25327952	treatment	20150529083636	spam
25327235	control	20150529083655	hard username
25327327	control	20150529083718	spam
25327420	treatment	20150529083802	spam
25327777	control	20150529083842	spam
25327274	treatment	20150529084005	spam
25326952	treatment	20150529084138	spam
25252656	treatment	20150529084443	hard username
25327852	treatment	20150529084729	abuse
25327439	control	20150529084900	abuse
25327921	control	20150529085403	soft username
25327549	control	20150529085424	sockpuppetry
25327390	treatment	20150529091004	abuse
25328353	control	20150529092807	sockpuppetry
25328248	treatment	20150529092822	spam
25328177	control	20150529102254	hard username
25328992	treatment	20150529111538	hard username
25326897	control	20150529112015	hard username
25327479	control	20150529112056	hard username
25329262	treatment	20150529114332	hard username
25329246	treatment	20150529114337	hard username
25328642	treatment	20150529114342	hard username
25329384	treatment	20150529115918	abuse
25329184	treatment	20150529121523	hard username
25326260	treatment	20150529121830	abuse
25328655	control	20150529121950	abuse
25328242	treatment	20150529123013	hard username
25329087	control	20150529123048	hard username
25329803	control	20150529125131	abuse
25328008	treatment	20150529130744	spam
25329679	control	20150529131046	sockpuppetry
25329626	treatment	20150529132915	soft username
25328970	treatment	20150529133039	hard username
25329564	treatment	20150529133831	abuse
25330014	treatment	20150529135805	hard username
25327906	treatment	20150529141027	hard username
25329483	control	20150529141243	soft username
25329769	control	20150529141528	soft username
25328464	treatment	20150529142213	abuse
25330633	control	20150529143741	spam
25330760	treatment	20150529144839	sockpuppetry
25330832	treatment	20150529145218	sockpuppetry
25328818	treatment	20150529145743	soft username
25330848	treatment	20150529150120	abuse
25330944	treatment	20150529150250	hard username
25330918	treatment	20150529150344	sockpuppetry
25331066	treatment	20150529152708	soft username
25329527	control	20150529153035	abuse
25326753	control	20150529155347	hard username
25327365	control	20150529155653	hard username
25327363	control	20150529155806	hard username
25331057	control	20150529160741	abuse
25331360	treatment	20150529162337	hard username
25331756	treatment	20150529170338	abuse
25331967	control	20150529172308	hard username
25326691	control	20150529172403	hard username
25330835	control	20150529172439	hard username
25332178	treatment	20150529173723	abuse
25332175	control	20150529181508	sockpuppetry
25332540	treatment	20150529183543	abuse
25332413	control	20150529184941	soft username
25331467	control	20150529185524	abuse
25332434	treatment	20150529192756	hard username
25332542	treatment	20150529200642	abuse
25333519	control	20150529203544	hard username
25332030	treatment	20150529204950	abuse
25332013	control	20150529204959	abuse
25328660	treatment	20150529210718	abuse
25333664	treatment	20150529211003	hard username
25333169	control	20150529211839	spam
25333815	control	20150529212621	abuse
25331026	treatment	20150529212640	abuse
25333898	treatment	20150529213707	hard username
25332166	treatment	20150529214139	sockpuppetry
25334013	control	20150529215108	soft username
25334015	control	20150529215837	abuse
25333891	control	20150529215937	abuse
25334125	control	20150529220848	hard username
25334154	treatment	20150529222309	abuse
25330518	treatment	20150529224020	abuse
25332076	treatment	20150529224136	abuse
25330235	control	20150529224924	hard username
25334286	treatment	20150529225209	abuse
25334278	treatment	20150529230910	abuse
25334258	treatment	20150529231018	hard username
25257522	treatment	20150529232236	abuse
25334090	treatment	20150529232341	hard username
25329758	treatment	20150529233440	hard username
25334522	treatment	20150529233836	abuse
25331940	treatment	20150529233901	hard username
25332382	treatment	20150529234104	hard username
25332889	control	20150529234349	hard username
25333605	control	20150529234804	hard username
25328205	control	20150529235056	spam
