user_id	user_registration	reverted_content_revisions
25251657	20150521150000	0
25251662	20150521150040	0
25251663	20150521150043	0
25251669	20150521150112	0
25251673	20150521150154	0
25251675	20150521150208	1
25251677	20150521150225	55
25251678	20150521150232	0
25251680	20150521150245	0
25251681	20150521150246	0
25251682	20150521150247	0
25251684	20150521150309	0
25251687	20150521150343	0
25251688	20150521150420	0
25251689	20150521150427	1
25251690	20150521150430	0
25251693	20150521150439	0
25251694	20150521150450	0
25251695	20150521150455	0
25251696	20150521150500	0
25251697	20150521150501	0
25251700	20150521150502	0
25251698	20150521150503	0
25251701	20150521150516	3
25251703	20150521150523	0
25251704	20150521150527	0
25251705	20150521150527	0
25251706	20150521150547	0
25251707	20150521150549	0
25251708	20150521150557	0
25251710	20150521150602	0
25251711	20150521150619	0
25251715	20150521150632	0
25251717	20150521150648	0
25251720	20150521150659	12
25251722	20150521150721	0
25251723	20150521150726	0
25251724	20150521150732	0
25251726	20150521150736	0
25251729	20150521150751	1
25251730	20150521150803	0
25251735	20150521150901	0
25251736	20150521150911	0
25251739	20150521150920	0
25251740	20150521150939	0
25251741	20150521150941	0
25251743	20150521150953	2
25251744	20150521150959	0
25251745	20150521151007	0
25251747	20150521151026	0
25251746	20150521151026	0
25251750	20150521151038	0
25251751	20150521151047	0
25251752	20150521151059	0
25251754	20150521151106	0
25251756	20150521151109	0
25251758	20150521151127	0
25251761	20150521151146	3
25251760	20150521151146	0
25251763	20150521151216	0
25251765	20150521151233	0
25251766	20150521151242	0
25251769	20150521151256	0
25251770	20150521151258	1
25251773	20150521151308	0
25251775	20150521151317	0
25251774	20150521151317	0
25251777	20150521151330	0
25251780	20150521151333	0
25251779	20150521151333	0
25251778	20150521151333	0
25251781	20150521151339	0
25251782	20150521151341	0
25251786	20150521151415	0
25251787	20150521151415	0
25251788	20150521151421	0
25251789	20150521151432	0
25251790	20150521151447	0
25251794	20150521151514	0
25251795	20150521151514	0
25251797	20150521151525	0
25251798	20150521151527	0
25251800	20150521151551	0
25251803	20150521151622	0
25251804	20150521151629	2
25251805	20150521151643	0
25251806	20150521151650	0
25251809	20150521151718	0
25251811	20150521151749	0
25251812	20150521151752	0
25251813	20150521151821	0
25251814	20150521151822	0
25251815	20150521151827	0
25251816	20150521151835	0
25251818	20150521151847	0
25251819	20150521151859	0
25251820	20150521151910	0
25251822	20150521151923	0
25251821	20150521151922	0
25251825	20150521151938	0
25251826	20150521151943	0
25251829	20150521151954	0
25251830	20150521152000	0
25251831	20150521152000	0
25251833	20150521152005	0
25251834	20150521152013	0
25251835	20150521152030	0
25251836	20150521152038	0
25251837	20150521152046	0
25251839	20150521152058	0
25251840	20150521152105	1
25251841	20150521152106	0
25251842	20150521152110	0
25251844	20150521152142	0
25251845	20150521152145	0
25251849	20150521152214	0
25251850	20150521152215	0
25251851	20150521152217	0
25251852	20150521152223	0
25251853	20150521152223	1
25251854	20150521152225	1
25251856	20150521152246	0
25251857	20150521152249	0
25251858	20150521152257	0
25251860	20150521152300	0
25251861	20150521152307	0
25251862	20150521152327	0
25251863	20150521152338	0
25251866	20150521152353	0
25251867	20150521152358	0
25251868	20150521152405	0
25251870	20150521152413	3
25251873	20150521152428	0
25251876	20150521152432	0
25251878	20150521152456	0
25251882	20150521152511	3
25251883	20150521152515	0
25251884	20150521152525	0
25251885	20150521152551	0
25251887	20150521152554	0
25251890	20150521152606	0
25251892	20150521152606	0
25251894	20150521152614	0
25251895	20150521152616	0
25251896	20150521152622	0
25251897	20150521152625	0
25251898	20150521152630	0
25251900	20150521152633	0
25251901	20150521152638	0
25251902	20150521152703	0
25251904	20150521152709	0
25251906	20150521152720	0
25251908	20150521152738	0
25251909	20150521152744	0
25251911	20150521152745	0
25251910	20150521152745	0
25251912	20150521152749	0
25251913	20150521152749	0
25251914	20150521152750	0
25251916	20150521152807	0
25251917	20150521152816	0
25251918	20150521152817	0
25251919	20150521152820	0
25251923	20150521152833	0
25251925	20150521152844	0
25251927	20150521152909	0
25251928	20150521152910	0
25251929	20150521152917	0
25251930	20150521152919	0
25251931	20150521152926	0
25251932	20150521152928	1
25251933	20150521152929	0
25251934	20150521152932	0
25251935	20150521152934	0
25251936	20150521152936	0
25251937	20150521152937	0
25251938	20150521152944	0
25251940	20150521153005	0
25251942	20150521153015	0
25251944	20150521153022	0
25251946	20150521153052	0
25251947	20150521153054	0
25251948	20150521153106	0
25251949	20150521153107	0
25251951	20150521153119	0
25251953	20150521153130	0
25251954	20150521153133	0
25251955	20150521153142	0
25251957	20150521153149	0
25251959	20150521153154	0
25251960	20150521153157	0
25251961	20150521153200	2
25251962	20150521153202	0
25251963	20150521153203	0
25251964	20150521153204	0
25251965	20150521153210	0
25251966	20150521153211	0
25251967	20150521153248	0
25251969	20150521153313	0
25251970	20150521153318	0
25251971	20150521153322	0
25251972	20150521153326	0
25251974	20150521153331	0
25251975	20150521153335	0
25251976	20150521153335	0
25251977	20150521153337	0
25251979	20150521153416	0
25251984	20150521153441	0
25251985	20150521153446	0
25251986	20150521153452	0
25251988	20150521153505	0
25251990	20150521153523	0
25251992	20150521153530	0
25251994	20150521153540	0
25251996	20150521153548	0
25252003	20150521153622	0
25252005	20150521153634	0
25252006	20150521153651	0
25252007	20150521153656	0
25252009	20150521153718	0
25252011	20150521153731	0
25252013	20150521153735	0
25252014	20150521153738	0
25252016	20150521153747	0
25252017	20150521153753	0
25252018	20150521153757	0
25252020	20150521153812	0
25252021	20150521153813	0
25252023	20150521153818	0
25252024	20150521153821	0
25252026	20150521153841	0
25252027	20150521153844	0
25252028	20150521153858	0
25252029	20150521153859	0
25252031	20150521153910	0
25252033	20150521153914	0
25252032	20150521153914	0
25252035	20150521153919	0
25252039	20150521153940	0
25252040	20150521153951	0
25252041	20150521154006	0
25252043	20150521154018	0
25252044	20150521154026	0
25252045	20150521154030	0
25252046	20150521154057	0
25252049	20150521154114	4
25252050	20150521154126	0
25252052	20150521154148	0
25252053	20150521154151	0
25252054	20150521154205	0
25252056	20150521154211	0
25252058	20150521154232	2
25252061	20150521154256	0
25252062	20150521154301	0
25252066	20150521154351	0
25252067	20150521154408	0
25252068	20150521154410	0
25252069	20150521154415	0
25252070	20150521154416	0
25252071	20150521154425	5
25252074	20150521154455	0
25252076	20150521154458	0
25252077	20150521154503	0
25252079	20150521154521	0
25252080	20150521154524	1
25252081	20150521154539	0
25252082	20150521154546	0
25252086	20150521154617	0
25252087	20150521154629	0
25252089	20150521154634	0
25252091	20150521154654	0
25252094	20150521154712	0
25252095	20150521154712	0
25252098	20150521154717	0
25252101	20150521154729	0
25252102	20150521154737	0
25252105	20150521154806	1
25252106	20150521154809	0
25252108	20150521154838	3
25252109	20150521154838	0
25252110	20150521154840	0
25252111	20150521154841	0
25252113	20150521154921	0
25252115	20150521154932	2
25252116	20150521154937	0
25252118	20150521154945	0
25252119	20150521154949	0
25252122	20150521154954	0
25252123	20150521155005	0
25252125	20150521155018	0
25252128	20150521155041	0
25252129	20150521155043	0
25252133	20150521155048	0
25252134	20150521155054	0
25252137	20150521155103	0
25252139	20150521155119	0
25252141	20150521155126	0
25252142	20150521155138	0
25252145	20150521155150	0
25252146	20150521155155	0
25252147	20150521155155	0
25252152	20150521155236	0
25252154	20150521155247	0
25252156	20150521155258	0
25252158	20150521155306	0
25252159	20150521155306	0
25252157	20150521155306	0
25252160	20150521155321	0
25252161	20150521155323	0
25252164	20150521155350	0
25252165	20150521155352	0
25252166	20150521155407	0
25252167	20150521155411	0
25252169	20150521155421	0
25252170	20150521155428	0
25252171	20150521155430	0
25252173	20150521155446	0
25252175	20150521155511	0
25252177	20150521155519	0
25252178	20150521155536	0
25252179	20150521155537	0
25252180	20150521155553	0
25252182	20150521155608	0
25252183	20150521155608	0
25252184	20150521155616	0
25252186	20150521155640	0
25252188	20150521155658	0
25252192	20150521155715	0
25252193	20150521155721	0
25252195	20150521155724	0
25252196	20150521155727	0
25252197	20150521155747	0
25252198	20150521155803	0
25252199	20150521155806	0
25252200	20150521155807	0
25252201	20150521155810	0
25252202	20150521155812	8
25252204	20150521155835	0
25252209	20150521155931	0
25252210	20150521155933	0
25252213	20150521160014	0
25252214	20150521160017	0
25252215	20150521160028	0
25252217	20150521160038	0
25252218	20150521160057	0
25252219	20150521160118	0
25252222	20150521160141	0
25252223	20150521160143	0
25252224	20150521160148	0
25252225	20150521160154	0
25252226	20150521160158	0
25252227	20150521160210	0
25252228	20150521160211	0
25252229	20150521160217	0
25252230	20150521160227	0
25252231	20150521160239	0
25252232	20150521160241	0
25252235	20150521160310	0
25252236	20150521160316	0
25252237	20150521160339	0
25252238	20150521160341	0
25252239	20150521160358	0
25252240	20150521160401	0
25252242	20150521160418	0
25252243	20150521160424	0
25252247	20150521160439	0
25252248	20150521160444	0
25252250	20150521160452	0
25252251	20150521160459	0
25252252	20150521160506	0
25252253	20150521160520	0
25252255	20150521160539	0
25252256	20150521160609	5
25252259	20150521160644	0
25252260	20150521160650	0
25252261	20150521160652	0
25252264	20150521160701	1
25252265	20150521160702	0
25252266	20150521160711	0
25252268	20150521160714	0
25252267	20150521160715	0
25252269	20150521160727	0
25252272	20150521160745	0
25252273	20150521160752	1
25252274	20150521160758	3
25252275	20150521160802	0
25252276	20150521160828	0
25252279	20150521160843	0
25252282	20150521160852	0
25252281	20150521160852	0
25252283	20150521160856	10
25252284	20150521160901	0
25252287	20150521161002	0
25252288	20150521161006	0
25252289	20150521161009	0
25252290	20150521161009	0
25252291	20150521161019	0
25252293	20150521161033	0
25252294	20150521161040	0
25252300	20150521161129	0
25252306	20150521161232	0
25252307	20150521161238	0
25252308	20150521161239	0
25252309	20150521161240	0
25252310	20150521161241	0
25252311	20150521161246	0
25252312	20150521161250	0
25252313	20150521161304	0
25252314	20150521161308	0
25252315	20150521161311	0
25252318	20150521161320	1
25252320	20150521161323	0
25252321	20150521161335	0
25252323	20150521161401	0
25252324	20150521161413	0
25252325	20150521161416	0
25252327	20150521161423	0
25252329	20150521161438	0
25252330	20150521161440	0
25252332	20150521161450	0
25252333	20150521161454	0
25252334	20150521161457	0
25252335	20150521161504	0
25252337	20150521161507	0
25252339	20150521161534	0
25252340	20150521161536	0
25252342	20150521161553	0
25252344	20150521161556	0
25252348	20150521161619	0
25252349	20150521161619	0
25252352	20150521161624	0
25252353	20150521161624	0
25252354	20150521161626	0
25252355	20150521161643	0
25252357	20150521161703	0
25252358	20150521161709	0
25252359	20150521161724	0
25252361	20150521161730	0
25252362	20150521161738	0
25252364	20150521161741	1
25252365	20150521161743	0
25252366	20150521161744	0
25252368	20150521161803	0
25252369	20150521161807	0
25252371	20150521161813	0
25252373	20150521161819	0
25252375	20150521161840	0
25252377	20150521161933	0
25252378	20150521161945	0
25252381	20150521162007	0
25252384	20150521162026	0
25252385	20150521162031	0
25252387	20150521162052	0
25252388	20150521162102	0
