rev_id	namespace
663414161	0
663414421	0
663414559	0
663414739	0
663414953	0
663415091	0
663415197	2
663415247	2
663415303	2
663415328	0
663415474	0
663415569	3
663415648	0
663415755	0
663415784	0
663415831	2
663415847	0
663415849	3
663415935	2
663416015	0
663416124	0
663416254	0
663416265	0
663416300	0
663416322	0
663416482	0
663416703	3
663416867	3
663416955	0
663416957	0
663417073	2
663417272	0
663417363	2
663417405	0
663417423	0
663417470	0
663417490	2
663417535	0
663417550	2
663417605	0
663417629	0
663417661	0
663417669	0
663417688	2
663417838	2
663417852	0
663417857	2
663417976	0
663418106	2
663418120	0
663418234	0
663418311	3
663418558	0
663418585	2
663418646	0
663418727	0
663418750	2
663419053	0
663419054	0
663419165	2
663419274	0
663419319	118
663419329	0
663419442	0
663419447	0
663419530	0
663419603	2
663419614	0
663419628	0
663419632	0
663419737	0
663419767	0
663419815	3
663419970	0
663419967	0
663420000	3
663420053	3
663420119	0
663420177	0
663420182	2
663420299	2
663420353	0
663420668	0
663420762	1
663420804	2
663420819	0
663420895	0
663420987	0
663421260	0
663421543	118
663421567	0
663421609	0
663421639	0
663421679	0
663421802	0
663421818	0
663421851	0
663422192	0
663422283	2
663422291	3
663422304	0
663422379	0
663422459	0
663422467	2
663422481	2
663422491	0
663422543	2
663422558	2
663422586	3
663422617	2
663422627	0
663422639	0
663422662	0
663422666	0
663422682	2
663422697	0
663422703	0
663422737	3
663422750	2
663422840	0
663422880	0
663422895	0
663422916	0
663422975	0
663422979	0
663423041	0
663423061	2
663423065	3
663423067	0
663423073	2
663423082	0
663423089	0
663423114	0
663423189	0
663423188	3
663423200	3
663423204	3
663423235	2
663423295	0
663423309	0
663423325	0
663423326	2
663423406	0
663423448	0
663423460	0
663423473	0
663423485	0
663423488	0
663423559	0
663423685	0
663423701	0
663423714	0
663423716	3
663423744	0
663423827	3
663423947	0
663423948	0
663423958	0
663424048	0
663424073	0
663424148	3
663424245	3
663424322	2
663424349	0
663424363	0
663424417	0
663424424	0
663424450	3
663424540	2
663424600	0
663424718	2
663424762	0
663424791	2
663424828	0
663424859	0
663424876	0
663424984	0
663425051	2
663425092	0
663425122	4
663425295	0
663425483	0
663425512	0
663425524	0
663425616	2
663425719	0
663425761	0
663425764	2
663425800	2
663425817	0
